早上好	Good morning
下午好	Good afternoon
晚上好	Good evening
晚安	Good night
你好	Hello
嗨	Hi
再见	Goodbye
回头见	See you later
明天见	See you tomorrow
很高兴见到你	Nice to meet you
我很好	I am fine
谢谢	Thank you
不客气	You are welcome
对不起	Sorry
没关系	That's okay
请	Please
打扰一下	Excuse me
我饿了	I am hungry
我渴了	I am thirsty
我累了	I am tired
我开心	I am happy
我难过	I am sad
我生气了	I am angry
我害怕	I am afraid
我冷	I am cold
我热	I am hot
我很忙	I am busy
我有空	I am free
我知道	I know
我不知道	I don't know
我明白了	I see
我同意	I agree
我不同意	I disagree
是的	Yes
不是	No
当然	Of course
也许	Maybe
等等	Wait a minute
慢慢来	Take your time
小心	Be careful
安静点	Be quiet
加油	Come on
祝你好运	Good luck
生日快乐	Happy birthday
新年快乐	Happy new year
圣诞快乐	Merry Christmas
旅途愉快	Have a nice trip
玩得开心	Have fun
吃好	Enjoy your meal
保重	Take care
多保重	Take good care
欢迎	Welcome
欢迎光临	Welcome here
请坐	Sit down please
站起来	Stand up
进来	Come in
出去	Go out
开门	Open the door
关门	Close the door
开窗	Open the window
关窗	Close the window
开灯	Turn on the light
关灯	Turn off the light
打开电视	Turn on the TV
关掉电视	Turn off the TV
喝水	Drink water
吃饭	Eat food
喝汤	Drink soup
吃水果	Eat fruit
吃蔬菜	Eat vegetables
吃米饭	Eat rice
吃肉	Eat meat
吃面包	Eat bread
喝牛奶	Drink milk
喝咖啡	Drink coffee
喝茶	Drink tea
吃早餐	Have breakfast
吃午餐	Have lunch
吃晚餐	Have dinner
洗手	Wash hands
洗脸	Wash face
刷牙	Brush teeth
梳头	Comb hair
穿衣服	Put on clothes
脱衣服	Take off clothes
穿鞋	Put on shoes
脱鞋	Take off shoes
戴帽子	Wear a hat
戴眼镜	Wear glasses
睡觉	Go to sleep
起床	Get up
整理床铺	Make the bed
打扫房间	Clean the room
扫地	Sweep the floor
拖地	Mop the floor
擦桌子	Wipe the table
洗衣服	Wash clothes
晾晒衣服	Hang up clothes
看书	Read a book
写字	Write words
画画	Draw pictures
唱歌	Sing songs
跳舞	Dance
跑步	Run
走路	Walk
跳跃	Jump
游泳	Swim
打球	Play ball
踢足球	Play football
打篮球	Play basketball
